athlete_team,time_800,time_400,season
"Seeland, Esther Messiah",126.84,58.74,indoor_2022
"Kelley, Emma Washington U.",129.41,57.16,indoor_2022
"Demco, Zanzie Wis.-Oshkosh",131.49,59.03,indoor_2022
"Sall, Delaney Calvin",131.79,59.78,indoor_2022
"Donnelly, Elizabeth Gustavus Adolphus",131.97,59.62,indoor_2022
"Janzen, Reagan Nebraska Wesleyan",132.98,60.8,indoor_2022
"Sarussi, Alessia Washington U.",133.24,60.62,indoor_2022
"Dunne, Aoife Washington U.",133.67,60.37,indoor_2022
"Kearney, Cassidy Middlebury",133.74,59.94,indoor_2022
"Uhl, Allison TCNJ",133.81,60.13,indoor_2022
"Neilon, Hannah Tufts",133.92,61.28,indoor_2022
"Maddux, Alexandra Hamline",134.07,60.09,indoor_2022
"McDonough, Aislyn Plattsburgh St.",134.66,63.78,indoor_2022
"Murphy, Hope Baldwin Wallace",134.92,62.09,indoor_2022
"Teszler, Rose Swarthmore",135.01,60.17,indoor_2022
"Banie, Katie Wis.-La Crosse",135.61,59.14,indoor_2022
"Pfadenhauer, Alyssa Loras",135.61,55.95,indoor_2022
"DeMonte, Paloma Ithaca",135.85,61.75,indoor_2022
"McSorley, Carson Wartburg",136.19,59.16,indoor_2022
"Jacob, Simone Mount Holyoke",137.12,62.5,indoor_2022
"Eberhardt, Claire John Carroll",137.13,61.02,indoor_2022
"Dixon, Mackenzie Millikin",138.21,61.68,indoor_2022
"Mason, Mary Mount Union",138.7,60.7,indoor_2022
"Metz, Jennifer Brockport St.",138.93,61.97,indoor_2022
"Ranocha, Libby Emory",140.04,61.57,indoor_2022
"Graesslin, Brooke Wisconsin Lutheran",140.05,62.87,indoor_2022
"Grammel, Annalise DePauw",140.19,61.37,indoor_2022
"Ross, Kate Susquehanna",140.27,63.22,indoor_2022
"Anderson, Erin Denison",140.54,61.39,indoor_2022
"Wilson, Simone Concordia Univ. Chicago",140.57,57.76,indoor_2022
"Decker, Elizabeth Nazareth",141.4,63.32,indoor_2022
"Scott, Lindsay Ithaca",141.51,62.68,indoor_2022
"Reisner, Sydney Wis.-Stout",141.78,62.13,indoor_2022
"Rine, Averi Misericordia",141.82,63.46,indoor_2022
"Bell, Megan Rochester",142.19,62.14,indoor_2022
"Morrongiello, Victoria Brandeis",142.32999999999998,61.84,indoor_2022
