athlete_team,time_800,time_400,season
"Deines, Tabetha Kansas Wesleyan",134.69,59.8,indoor_2022
"Heynen, Emilee Dordt",136.01,58.01,indoor_2022
"Stuit, Anmarie Dordt",136.69,58.64,indoor_2022
"Pingel, Annika Doane",137.01,58.69,indoor_2022
"Geesaman, Maria York (Neb.)",137.43,60.91,indoor_2022
"Boyd, Adrianna Marian (Ind.)",138.78,62.41,indoor_2022
"Shaw, Jezelle Indiana Wesleyan",140.6,58.17,indoor_2022
"Welch, Sarah Bryan",141.17000000000002,61.37,indoor_2022
"Bogdanova, Valeria Columbia (S.C.)",141.42000000000002,61.31,indoor_2022
"Albo, Jacqueline Lawrence Tech",141.89,64.29,indoor_2022
"Groebe, Sevilla Park Gilbert",142.48,63.05,indoor_2022
"Brown, Monique Florida Memorial",142.6,61.91,indoor_2022
"Oberg, Grace Concordia (Neb.)",143.52,61.96,indoor_2022
"Defreese, Josie Marian (Ind.)",143.73,63.17,indoor_2022
"Lechner, Casey Indiana Kokomo",145.1,64.0,indoor_2022
"Sanderson, Lauren Cumberlands",145.38,61.96,indoor_2022
"McNulty, Milan Thomas More",146.46,61.92,indoor_2022
"Giles, Jennifer Dakota State",146.76,64.25,indoor_2022
"Ekundayo, Esther Columbia (S.C.)",146.9,63.48,indoor_2022
"Orton, Tori Olivet Nazarene",147.18,62.3,indoor_2022
"Stevens, Cora Cumberlands",147.49,62.34,indoor_2022
"Friesen, Tara Grace",147.54,62.04,indoor_2022
"Aguilar, Veronica St. Mary (Kan.)",147.63,64.09,indoor_2022
"Wood, Kiley Milligan",148.76,61.84,indoor_2022
"Roberts, Claire St. Francis (Ill.)",149.73,65.88,indoor_2022
"Perez, Sarah Morningside",150.42000000000002,62.06,indoor_2022
"Thomas, Taylor Marian (Ind.)",150.81,60.9,indoor_2022
"Fulford, Olivia Mobile",151.91,63.21,indoor_2022
"McPike, Alyssa Health Sciences and Pharmacy",152.1,67.05,indoor_2022
"Sharif, Maryan Park Gilbert",152.41,66.1,indoor_2022
"Waters , Caileigh Thomas More",152.76,64.8,indoor_2022
"Sterk, Savonne Northwestern (Iowa)",152.82,59.98,indoor_2022
"Yob, Sara Cornerstone",153.01,62.54,indoor_2022
"Heldt , Raegan Oakland City",153.44,64.78,indoor_2022
"Bonzani, Kendall Eastern Oregon",153.51,65.37,indoor_2022
"Sanders, Hadley Columbia (Mo.)",153.93,64.57,indoor_2022
"Reed, Rosemary Columbia Int'l",154.13,65.71,indoor_2022
"Koval, Karissa St. Ambrose",154.2,64.96,indoor_2022
"Batenhorst, Elena Concordia (Neb.)",154.31,63.5,indoor_2022
"Richert, Amy Concordia (Neb.)",154.84,64.67,indoor_2022
"Gilmore, Jailyn Florida Memorial",154.85,64.91,indoor_2022
"Cihak, Jacey Mount Marty",155.09,65.0,indoor_2022
"Nicholas, Lexi Brescia",155.16,64.08,indoor_2022
"Froning, Maggie SCAD Savannah",155.3,66.13,indoor_2022
"Sattler, Leah Benedictine (Kan.)",156.32999999999998,65.71,indoor_2022
"Ortiz, Selema Friends",156.52,66.27,indoor_2022
"Eller, Heather Rochester (MI)",156.66,68.2,indoor_2022
