athlete_team,time_800,time_400,season
"Moore, Aaliyah Monroe College (NR)",132.0,57.21,indoor_2022
"Findley, Shadae Western Texas College",132.36,57.78,indoor_2022
"Miller, Farrah Monroe College (NR)",134.88,56.39,indoor_2022
"Lewis, Camille South Plains",136.45,58.45,indoor_2022
"Milano, Pamela Cloud County CC",136.49,57.52,indoor_2022
"Richardson, Shariden Iowa Western CC",136.69,59.87,indoor_2022
"Brown, Britney Iowa Central CC",136.77,58.03,indoor_2022
"Donald, Cemore South Plains",138.94,56.81,indoor_2022
"Crews, Passion Cloud County CC",139.27,59.55,indoor_2022
"Graham, Lashanna Barton County CC",143.47,57.1,indoor_2022
"Jackson, Sicely Cloud County CC",143.84,62.54,indoor_2022
"Rose, Nadine New Mexico JC",143.96,63.01,indoor_2022
"Mercera, Vanessa Cloud County CC",147.09,60.31,indoor_2022
"Lowe, Deborah Barton County CC",147.16,58.82,indoor_2022
"Simpson, Allie Southeastern CC",149.96,65.65,indoor_2022
"Clark, Faith Muskegon CC",151.44,65.38,indoor_2022
"Adduci, Belle DuPage",151.67000000000002,67.05,indoor_2022
"Simmons, Jamelia South Plains",154.57999999999998,58.05,indoor_2022
"Bass, Aydan Highland CC",155.87,69.96000000000001,indoor_2022
"Bonham, Katherine Mesa CC",156.69,63.8,indoor_2022
"Heath , Patience Fort Scott CC",162.82999999999998,61.37,indoor_2022
"Gaski, Alyssa DuPage",163.11,67.95,indoor_2022
"Yung, Jurney Hutchinson CC",166.06,68.82,indoor_2022
"Love, Alayna Cowley College",170.53,71.09,indoor_2022
"Robinson, Jorden Sauk Valley CC",172.11,73.49,indoor_2022
"Burkhart, Meagan Garden City CC",174.89,67.51,indoor_2022
"Thomas, Asharee Bryant & Stratton (VA)",178.81,64.84,indoor_2022
"Snyder, Ashley Pratt CC",181.48,75.39,indoor_2022
"Wilson , Keyann Fort Scott CC",187.93,62.94,indoor_2022
"Erno, Elizabeth Hudson Valley CC",240.72,86.83,indoor_2022
"Mcabelo, Prince Monroe College (NR)",110.57,51.03,indoor_2022
"Mills, khabeeba Essex CC",112.19,48.47,indoor_2022
"Brackemeyer, Koby Hawkeye CC",114.68,50.08,indoor_2022
"Ballam, Joshua Paradise Valley",115.74000000000001,51.64,indoor_2022
"Coyhis, Ethan Trinidad State",115.81,50.6,indoor_2022
"Rasco, Ryan Hagerstown CC",116.89,53.73,indoor_2022
"Bishop, Tafari Iowa Central CC",118.08,49.61,indoor_2022
"Abidi, Hassan Cloud County CC",120.06,49.5,indoor_2022
"Chipman, Mason Hawkeye CC",120.72,52.65,indoor_2022
"Eddy, Anthony DuPage",121.14,53.68,indoor_2022
"Soumare, Mohamed Essex CC",121.26,49.41,indoor_2022
"Hackshaw, Jonathan Monroe College (NR)",121.65,52.82,indoor_2022
"Cooper, Clayon Highland CC",121.81,53.9,indoor_2022
"Stec, Spensir DuPage",121.94,53.7,indoor_2022
"Pearson, Jaron Hagerstown CC",122.86,52.98,indoor_2022
"Douglas, Danario Monroe College (Bronx)",123.51,51.29,indoor_2022
"Pratt, Korey Hinds CC",123.52,50.56,indoor_2022
"Davis, Isaac Iowa Central CC",123.7,52.27,indoor_2022
"Herbert, Jeremiah Monroe College (Bronx)",124.24,51.99,indoor_2022
"Mallam, Abraham Neosho County CC",124.8,54.92,indoor_2022
"Cruz, Shane Monroe College (NR)",125.29,56.17,indoor_2022
"Hunt, John North Iowa Area CC",125.58,53.06,indoor_2022
"Plant, Nathan Pima CC",126.15,53.89,indoor_2022
"Taranko, Bailey Muskegon CC",126.57,52.93,indoor_2022
"Wade, Benjamin Queensborough CC",127.88,55.02,indoor_2022
"Mejia, Jerry Muskegon CC",132.24,53.55,indoor_2022
"Molina, Miguel Phoenix College",133.4,55.72,indoor_2022
"Reed, Essmal Coffeyville CC",139.23,54.59,indoor_2022
"Sims, Ethan State Fair CC",139.34,55.84,indoor_2022
"Lindsey, Keyon Mesa CC",139.9,53.97,indoor_2022
"Hairston , Rennie Patrick Henry CC",144.81,59.5,indoor_2022
"Johnson, Sean Louisburg College",147.34,58.61,indoor_2022
"Kim, Brendan Queensborough CC",157.07999999999998,68.21000000000001,indoor_2022
"Rogers, Tyler Coffeyville CC",160.0,65.16,indoor_2022
"Robertson, Chase Patrick Henry CC",169.04,67.69,indoor_2022
"Simmons, Aliyah Indian Hills CC",132.5,59.41,outdoor_2022
